__tests__\features\projects\hooks\useChat.test.ts | 8:51|error|Do not use 'as' assertions. Prefer precise types or type guards|no-restricted-syntax
__tests__\features\projects\hooks\useChat.test.ts | 8:51|error|Unsafe type assertion: type 'SendMessageResponse' is more narrow than the original type|@typescript-eslint/no-unsafe-type-assertion
__tests__\features\projects\hooks\useChat.test.ts | 40:27|error|Unexpected empty async arrow function|@typescript-eslint/no-empty-function
__tests__\features\projects\hooks\useChatHandlers.test.ts | 23:29|error|Arrow function has too many lines (59). Maximum allowed is 50|max-lines-per-function
__tests__\features\projects\hooks\useChatHandlers.test.ts | 44:39|error|Do not use 'as' assertions. Prefer precise types or type guards|no-restricted-syntax
__tests__\features\projects\hooks\useChatHandlers.test.ts | 44:39|error|Unsafe type assertion: type 'SendMessageResponse' is more narrow than the original type|@typescript-eslint/no-unsafe-type-assertion
__tests__\features\projects\hooks\useChatHandlers.test.ts | 57:39|error|Do not use 'as' assertions. Prefer precise types or type guards|no-restricted-syntax
__tests__\features\projects\hooks\useChatHandlers.test.ts | 57:39|error|Unsafe type assertion: type 'SendMessageResponse' is more narrow than the original type|@typescript-eslint/no-unsafe-type-assertion
__tests__\features\projects\hooks\useChatHandlers.test.ts | 64:50|error|Do not use 'as' assertions. Prefer precise types or type guards|no-restricted-syntax
__tests__\features\projects\hooks\useChatHandlers.test.ts | 64:50|error|Unsafe type assertion: type 'SyntheticEvent<Element, Event>' is more narrow than the original type|@typescript-eslint/no-unsafe-type-assertion
__tests__\features\projects\hooks\useChatHandlers.test.ts | 64:50|error|Do not use 'as' assertions. Prefer precise types or type guards|no-restricted-syntax
__tests__\features\projects\hooks\useChatHandlers.test.ts | 66:12|warning|Don't use `unknown` as a type. Avoid 'unknown' in internal code. Use domain types; reserve 'unknown' for external boundaries (I/O, JSON, external APIs)|@typescript-eslint/no-restricted-types
__tests__\features\projects\hooks\useChatMessaging.test.ts | 25:23|error|Do not use 'as' assertions. Prefer precise types or type guards|no-restricted-syntax
__tests__\features\projects\hooks\useChatMessaging.test.ts | 25:23|error|Unsafe type assertion: type 'Dispatch<SetStateAction<readonly Message[]>>' is more narrow than the original type|@typescript-eslint/no-unsafe-type-assertion
__tests__\features\projects\hooks\useChatMessaging.test.ts | 25:23|error|Do not use 'as' assertions. Prefer precise types or type guards|no-restricted-syntax
__tests__\features\projects\hooks\useChatMessaging.test.ts | 25:34|warning|Don't use `unknown` as a type. Avoid 'unknown' in internal code. Use domain types; reserve 'unknown' for external boundaries (I/O, JSON, external APIs)|@typescript-eslint/no-restricted-types
__tests__\features\projects\hooks\useInputAnalysisWorkflow.test.ts | 6:38|error|Arrow function has too many lines (89). Maximum allowed is 50|max-lines-per-function
__tests__\features\projects\hooks\useInputAnalysisWorkflow.test.ts | 72:21|error|Do not use 'as' assertions. Prefer precise types or type guards|no-restricted-syntax
__tests__\features\projects\hooks\useInputAnalysisWorkflow.test.ts | 72:21|error|Unsafe type assertion: type 'AnalysisSummary' is more narrow than the original type|@typescript-eslint/no-unsafe-type-assertion
__tests__\features\projects\hooks\useInputAnalysisWorkflow.test.ts | 72:21|error|Do not use 'as' assertions. Prefer precise types or type guards|no-restricted-syntax
__tests__\features\projects\hooks\useInputAnalysisWorkflow.test.ts | 72:46|warning|Don't use `unknown` as a type. Avoid 'unknown' in internal code. Use domain types; reserve 'unknown' for external boundaries (I/O, JSON, external APIs)|@typescript-eslint/no-restricted-types
__tests__\features\projects\hooks\usePanelWidth.test.ts | 12:27|error|Arrow function has too many lines (54). Maximum allowed is 50|max-lines-per-function
__tests__\features\projects\hooks\useProjectData.test.ts | 36:28|error|Arrow function has too many lines (66). Maximum allowed is 50|max-lines-per-function
__tests__\features\projects\hooks\useProjectData.test.ts | 51:27|error|Unexpected empty async arrow function|@typescript-eslint/no-empty-function
